Date,Price,Date,Open,High,Low,Close price,Vol.,Change %,,Volatility,Daily volatility,,,,,,,,,,,,,,,,,
"Mar 09, 2020"," ₹ 2,746.56 ","Mar 09, 2020"," ₹ 2,863.89 "," ₹ 2,863.89 "," ₹ 2,734.43 "," ₹ 2,746.56 ",-,-7.60%,8%,129.46,4.50%,,,,,,,,,,,,,,,,,
"Mar 06, 2020"," ₹ 2,972.37 ","Mar 06, 2020"," ₹ 2,954.20 "," ₹ 2,985.93 "," ₹ 2,901.54 "," ₹ 2,972.37 ",-,-1.71%,2%,84.39,2.90%,,,,,,,,,,,,,,,,,
"Mar 05, 2020"," ₹ 3,023.94 ","Mar 05, 2020"," ₹ 3,075.70 "," ₹ 3,083.04 "," ₹ 2,999.83 "," ₹ 3,023.94 ",-,-3.39%,3%,83.21,2.70%,,,,,,,,,,,,,,,,,
"Mar 04, 2020"," ₹ 3,130.12 ","Mar 04, 2020"," ₹ 3,045.75 "," ₹ 3,130.97 "," ₹ 3,034.38 "," ₹ 3,130.12 ",-,4.22%,4%,96.59,3.20%,,,,,,,,,,,,,,,,,
"Mar 03, 2020"," ₹ 3,003.37 ","Mar 03, 2020"," ₹ 3,096.46 "," ₹ 3,136.72 "," ₹ 2,976.63 "," ₹ 3,003.37 ",-,-2.81%,3%,160.09,5.20%,,,,,,,,,,,,,,,,,
"Mar 02, 2020"," ₹ 3,090.23 ","Mar 02, 2020"," ₹ 2,974.28 "," ₹ 3,090.96 "," ₹ 2,945.19 "," ₹ 3,090.23 ",-,4.60%,5%,145.77,4.90%,,,,,,,,,,,,,,,,,
"Feb 28, 2020"," ₹ 2,954.22 ","Feb 28, 2020"," ₹ 2,916.90 "," ₹ 2,959.72 "," ₹ 2,855.84 "," ₹ 2,954.22 ",-,-0.82%,1%,103.88,3.60%,,,,,,,,,,,,,,,,,
"Feb 27, 2020"," ₹ 2,978.76 ","Feb 27, 2020"," ₹ 3,062.54 "," ₹ 3,097.07 "," ₹ 2,977.39 "," ₹ 2,978.76 ",-,-4.42%,4%,119.68,3.90%,,,,,,,,,,,,,,,,,
"Feb 26, 2020"," ₹ 3,116.39 ","Feb 26, 2020"," ₹ 3,139.90 "," ₹ 3,182.51 "," ₹ 3,108.99 "," ₹ 3,116.39 ",-,-0.38%,0%,73.52,2.30%,,,,,,,,,,,,,,,,,
"Feb 25, 2020"," ₹ 3,128.21 ","Feb 25, 2020"," ₹ 3,238.94 "," ₹ 3,246.99 "," ₹ 3,118.77 "," ₹ 3,128.21 ",-,-3.03%,3%,128.22,4.00%,,,,,,,,,,,,,,,,,
"Feb 24, 2020"," ₹ 3,225.89 ","Feb 24, 2020"," ₹ 3,257.61 "," ₹ 3,259.81 "," ₹ 3,214.65 "," ₹ 3,225.89 ",-,-3.35%,3%,45.16,1.40%,,,,,,,,,,,,,,,,,
"Feb 21, 2020"," ₹ 3,337.75 ","Feb 21, 2020"," ₹ 3,360.50 "," ₹ 3,360.76 "," ₹ 3,328.45 "," ₹ 3,337.75 ",-,-1.05%,1%,32.31,1.00%,,,,,,,,,,,,,,,,,
"Feb 20, 2020"," ₹ 3,373.23 ","Feb 20, 2020"," ₹ 3,380.45 "," ₹ 3,389.15 "," ₹ 3,341.02 "," ₹ 3,373.23 ",-,-0.38%,0%,48.13,1.40%,,,,,,,,,,,,,,,,,
"Feb 19, 2020"," ₹ 3,386.15 ","Feb 19, 2020"," ₹ 3,380.39 "," ₹ 3,393.52 "," ₹ 3,378.83 "," ₹ 3,386.15 ",-,0.47%,0%,14.69,0.40%,,,,,,,,,,,,,,,,,
"Feb 18, 2020"," ₹ 3,370.29 ","Feb 18, 2020"," ₹ 3,369.04 "," ₹ 3,375.01 "," ₹ 3,355.61 "," ₹ 3,370.29 ",-,-0.29%,0%,19.4,0.60%,,,,,,,,,,,,,,,,,
"Feb 14, 2020"," ₹ 3,380.16 ","Feb 14, 2020"," ₹ 3,378.08 "," ₹ 3,380.69 "," ₹ 3,366.15 "," ₹ 3,380.16 ",-,0.18%,0%,14.54,0.40%,,,,,,,,,,,,,,,,,
"Feb 13, 2020"," ₹ 3,373.94 ","Feb 13, 2020"," ₹ 3,365.90 "," ₹ 3,385.09 "," ₹ 3,360.52 "," ₹ 3,373.94 ",-,-0.16%,0%,24.57,0.70%,,,,,,,,,,,,,,,,,
